edge_id,i,j,conductance
237,3,55,1.7200189044e-12
238,3,56,5.80820285994e-13
239,3,57,1.72293267103e-12
240,3,58,4.69110054891e-17
241,3,59,6.55347865971e-13
242,3,60,6.21880738513e-12
243,3,61,3.43769190075e-12
244,3,62,3.37943847208e-12
245,3,63,3.3523845679e-12
246,4,5,6.95701576975e-10
247,4,6,1.61249454292e-10
248,4,7,0.130007787593
249,4,8,0.130179614854
250,4,9,1.02115100225e-09
251,4,10,9.41928336645e-10
252,4,11,4.1843789299e-10
253,4,12,5.75541436437e-10
254,4,13,7.9950572404e-10
255,4,14,6.2360555811e-10
256,4,15,0.147764288727
257,4,16,0.243174750981
258,4,17,3.55647843689e-10
259,4,18,3.74373349349e-10
260,4,19,4.14018397002e-10
261,4,20,7.02500464853e-10
262,4,21,6.67659107644e-10
263,4,22,4.95018912838e-10
264,4,23,0.130012891762
265,4,24,0.130028222073
266,4,25,3.99382610535e-10
267,4,26,2.59217562432e-10
268,4,27,5.08243622961e-10
269,4,28,9.82795479207e-10
270,4,29,6.70307593011e-10
271,4,30,3.65559584148e-10
272,4,31,0.137680745269
273,4,32,0.138741316886
274,4,33,3.26288437423e-10
275,4,34,4.0933916013e-10
276,4,35,1.1158351913e-09
277,4,36,2.78142094188e-10
278,4,37,5.05650947268e-10
279,4,38,5.13985619262e-10
280,4,39,0.129208493968
281,4,40,0.119821762756
282,4,41,4.4590405851e-10
283,4,42,5.80717901996e-10
284,4,43,5.60013860401e-10
285,4,44,2.20534005813e-10
286,4,45,4.48021330441e-10
287,4,46,4.06620359006e-10
288,4,47,0.139193436913
289,4,48,0.138572627631
290,4,49,2.39747654698e-10
291,4,50,6.70893238761e-10
292,4,51,0.1
293,4,52,0.1
294,4,53,7.22385826414e-10
295,4,54,4.52150009216e-10
296,4,55,0.167323751765
297,4,56,0.139348675222
298,4,57,0.139280009134
299,4,58,0.138856510537
300,4,59,1.53859721405e-07
301,4,60,0.135016247716
302,4,61,0.139119039972
303,4,62,0.139174029001
304,4,63,0.139317115777
305,5,6,2.73548641014e-11
306,5,7,4.96594850265e-13
307,5,8,2.47594116913e-13
308,5,9,8.78552585304e-10
309,5,10,2.77980938773e-10
310,5,11,5.75959947315e-11
311,5,12,5.6577100774e-11
312,5,13,6.34620595385e-10
313,5,14,4.20445402629e-10
314,5,15,1.55008793104e-13
315,5,16,4.68503935484e-13
316,5,17,2.71181993513e-10
317,5,18,3.40676487534e-10
318,5,19,5.6026681251e-11
319,5,20,7.1325476609e-11
320,5,21,4.00419429396e-10
321,5,22,3.79572231924e-10
322,5,23,1.3036277974e-13
323,5,24,1.56430182847e-13
324,5,25,1.17166742932e-10
325,5,26,1.30690270362e-10
326,5,27,7.70053444836e-11
327,5,28,2.63925946129e-10
328,5,29,0.1
329,5,30,1.03729714146e-10
330,5,31,1.51718772758e-14
331,5,32,3.2236049803e-12
332,5,33,1.45912595231e-10
333,5,34,2.47921889331e-10
334,5,35,9.99976268647e-11
335,5,36,5.72365522818e-11
336,5,37,4.22877254487e-10
337,5,38,3.93313520876e-10
338,5,39,7.74386718262e-14
339,5,40,9.92792885724e-15
340,5,41,4.10389358145e-10
341,5,42,4.80288138857e-10
342,5,43,5.7120951656e-11
343,5,44,6.67382624138e-11
344,5,45,5.34397157086e-10
345,5,46,2.93393147954e-10
346,5,47,3.29597835379e-13
347,5,48,4.91008435348e-14
348,5,49,1.24343645481e-11
349,5,50,2.38262584163e-10
350,5,51,1.28837719789e-09
351,5,52,6.28585049196e-10
352,5,53,2.62662383637e-10
353,5,54,3.27812429091e-11
354,5,55,1.19213052654e-14
355,5,56,1.36785537761e-13
356,5,57,1.36695578685e-13
357,5,58,6.51999631165e-14
358,5,59,6.05499062091e-13
359,5,60,1.23044977581e-13
360,5,61,6.77523215115e-13
361,5,62,1.18707026001e-12
362,5,63,9.31852530383e-15
363,6,7,4.13407896802e-10
364,6,8,4.53361358384e-10
365,6,9,1.16870133529e-11
366,6,10,3.41121794852e-11
367,6,11,3.91656040902e-11
368,6,12,3.9613147207e-11
369,6,13,2.96625965401e-11
370,6,14,3.90017927067e-11
371,6,15,4.2546575722e-10
372,6,16,3.03430352142e-10
373,6,17,4.4680762364e-11
374,6,18,3.56524668327e-11
375,6,19,1.74470912846e-10
376,6,20,6.54295567638e-11
377,6,21,1.06522079266e-11
378,6,22,3.48751762515e-11
379,6,23,3.77577430365e-10
380,6,24,3.85859123943e-10
381,6,25,1.72096240145e-11
382,6,26,6.32962032627e-12
383,6,27,4.03950381415e-12
384,6,28,4.19432504111e-11
